track_name,track_artist,track_popularity,playlist_genre,track_year
I Don't Care (with Justin Bieber) - Loud Luxury Remix,Ed Sheeran,66,pop,2019
Memories - Dillon Francis Remix,Maroon 5,67,pop,2019
All the Time - Don Diablo Remix,Zara Larsson,70,pop,2019
Call You Mine - Keanu Silva Remix,The Chainsmokers,60,pop,2019
Someone You Loved - Future Humans Remix,Lewis Capaldi,69,pop,2019
Beautiful People (feat. Khalid) - Jack Wins Remix,Ed Sheeran,67,pop,2019
Never Really Over - R3HAB Remix,Katy Perry,62,pop,2019
Post Malone (feat. RANI) - GATTUSO Remix,Sam Feldt,69,pop,2019
Tough Love - Tiesto Remix / Radio Edit,Avicii,68,pop,2019
If I Can't Have You - Gryffin Remix,Shawn Mendes,67,pop,2019
Cross Me (feat. Chance the Rapper & PnB Rock) - M-22 Remix,Ed Sheeran,58,pop,2019
Hate Me - R3HAB Remix,Ellie Goulding,67,pop,2019
Body On My,Loud Luxury,67,pop,2019
SOS - Laidback Luke Tribute Remix / Radio Edit,Avicii,68,pop,2019
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiesto Remix,Martin Garrix,63,pop,2019
South of the Border (feat. Camila Cabello & Cardi B) - Andy Jarvis Remix,Ed Sheeran,66,pop,2019
All My Friends - Eden Prince Remix,AJ Mitchell,60,pop,2019
Say My Name (feat. Bebe Rexha & J Balvin) - Lucas & Steve Remix,David Guetta,65,pop,2018
Dancing With A Stranger (With Normani) - Cheat Codes Remix,Sam Smith,69,pop,2019
Let It Be Me - Sondr Remix,Steve Aoki,35,pop,2019
Heaven - David Guetta & MORTEN Remix,Avicii,70,pop,2019
All Around The World (La La La) - Marnik Remix,R3HAB,64,pop,2019
Don't Leave Me Alone (feat. Anne-Marie) - EDX's Indian Summer Remix,David Guetta,62,pop,2019
Slow Dance (feat. Ava Max) - Sam Feldt Remix,AJ Mitchell,70,pop,2019
Do You Mean (feat. Ty Dolla $ign & bulow) - Myon Remix,The Chainsmokers,58,pop,2019
Hold Me While You Wait - Steve Void Remix,Lewis Capaldi,63,pop,2019
